 "Munic�pio","ibge","latitude","longitude","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2000 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2001 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2002 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2003 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2004 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2005 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2006 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2007 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2008 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2009 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2010 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2011 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2012 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2013 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2014 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2015 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2016 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2017 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2018 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2019 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2020 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2021 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2022 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2023 (-)","Demografia/Popula��o/Estimativas Populacionais - RIPSA/Total 2024 (-)"
"Acegu�","4300034","-31,864015000000","-54,164732000000","3.959","3.998","4.050","4.117","4.169","4.216","4.273","4.307","4.357","4.404","4.424","4.431","4.420","4.422","4.410","4.392","4.370","4.363","4.336","4.333","4.317","4.289","4.270","4.235","4.253"
"�gua Santa","4300059","-28,175055000000","-52,034633000000","3.779","3.777","3.783","3.785","3.785","3.780","3.779","3.770","3.768","3.763","3.764","3.768","3.779","3.802","3.825","3.848","3.878","3.907","3.916","3.937","3.962","3.968","3.985","3.970","4.000"
"Agudo","4300109","-29,645663000000","-53,258692000000","17.583","17.604","17.597","17.565","17.519","17.462","17.398","17.306","17.208","17.117","17.029","16.965","16.925","16.897","16.864","16.827","16.788","16.747","16.702","16.660","16.618","16.568","16.478","16.399","16.346"
"Ajuricaba","4300208","-28,237729000000","-53,772819000000","7.812","7.795","7.770","7.741","7.702","7.661","7.615","7.578","7.527","7.486","7.442","7.394","7.356","7.318","7.288","7.252","7.220","7.182","7.140","7.090","7.066","7.019","6.942","6.882","6.848"
"Alecrim","4300307","-27,661074000000","-54,767096000000","8.659","8.542","8.423","8.283","8.130","7.992","7.848","7.703","7.570","7.438","7.330","7.220","7.125","7.051","6.974","6.902","6.828","6.761","6.680","6.612","6.562","6.480","6.390","6.294","6.228"
"Alegrete","4300406","-29,782043000000","-55,795870000000","85.605","85.368","84.984","84.452","83.884","83.286","82.650","81.962","81.235","80.590","79.956","79.457","79.088","78.805","78.522","78.226","77.917","77.566","77.184","76.810","76.427","75.903","75.308","74.795","74.329"
"Alegria","4300455","-27,837300000000","-54,057366000000","5.436","5.344","5.245","5.131","5.036","4.931","4.822","4.717","4.616","4.531","4.448","4.374","4.307","4.246","4.190","4.135","4.080","4.029","3.980","3.932","3.902","3.858","3.808","3.743","3.711"
"Almirante Tamandar� do Sul","4300471","-28,113726000000","-52,913715000000","2.255","2.232","2.225","2.202","2.190","2.177","2.159","2.148","2.130","2.120","2.104","2.090","2.087","2.072","2.073","2.070","2.064","2.057","2.051","2.044","2.039","2.030","2.021","1.989","2.008"
"Alpestre","4300505","-27,248769000000","-53,037366000000","10.413","10.223","10.025","9.800","9.573","9.349","9.130","8.907","8.695","8.500","8.336","8.211","8.122","8.050","7.976","7.911","7.846","7.774","7.698","7.632","7.563","7.493","7.397","7.311","7.243"
"Alto Alegre","4300554","-28,774746000000","-52,990755000000","2.147","2.118","2.093","2.073","2.041","2.012","1.993","1.968","1.939","1.908","1.886","1.867","1.870","1.870","1.867","1.855","1.856","1.851","1.854","1.848","1.856","1.853","1.848","1.816","1.837"
"Alto Feliz","4300570","-29,390139000000","-51,315816000000","2.806","2.815","2.832","2.854","2.873","2.891","2.890","2.892","2.903","2.908","2.910","2.915","2.925","2.942","2.951","2.979","2.991","3.016","3.043","3.071","3.097","3.108","3.121","3.101","3.143"
"Alvorada","4300604","-29,997493000000","-51,077729000000","187.675","189.656","191.576","193.471","195.204","196.745","198.057","199.106","199.997","200.795","201.237","201.370","201.445","201.438","201.379","201.310","201.113","200.677","200.010","199.272","198.457","197.383","196.124","195.035","194.116"
"Amaral Ferrador","4300638","-30,875148000000","-52,251270000000","5.878","5.942","5.999","6.071","6.140","6.210","6.273","6.342","6.415","6.475","6.499","6.479","6.429","6.362","6.280","6.206","6.116","6.025","5.924","5.823","5.735","5.641","5.541","5.455","5.394"
"Ametista do Sul","4300646","-27,356425000000","-53,192177000000","7.396","7.422","7.447","7.458","7.475","7.483","7.471","7.441","7.416","7.393","7.393","7.418","7.455","7.501","7.546","7.597","7.638","7.657","7.692","7.726","7.753","7.780","7.778","7.792","7.822"
"Andr� da Rocha","4300661","-28,631977000000","-51,573738000000","1.103","1.104","1.123","1.131","1.140","1.153","1.167","1.183","1.200","1.213","1.222","1.219","1.218","1.212","1.218","1.209","1.202","1.192","1.185","1.182","1.179","1.165","1.155","1.129","1.157"
"Anta Gorda","4300703","-28,970884000000","-52,015823000000","6.339","6.337","6.336","6.308","6.283","6.273","6.252","6.229","6.202","6.184","6.168","6.150","6.140","6.139","6.143","6.146","6.144","6.135","6.136","6.140","6.138","6.128","6.103","6.072","6.080"
"Ant�nio Prado","4300802","-28,855438000000","-51,283577000000","12.958","13.016","13.054","13.075","13.094","13.108","13.101","13.077","13.051","13.030","13.011","12.992","13.017","13.050","13.092","13.120","13.166","13.211","13.251","13.282","13.320","13.339","13.322","13.319","13.328"
